sampleID,forwardReads,reverseReads
AMF_1_S1_L001,raw/2019_AMF_1_S1_L001_R1_001.fastq.gz,raw/2019_AMF_1_S1_L001_R2_001.fastq.gz
AMF_10_S10_L001,raw/2019_AMF_10_S10_L001_R1_001.fastq.gz,raw/2019_AMF_10_S10_L001_R2_001.fastq.gz
AMF_2_S2_L001,raw/2019_AMF_2_S2_L001_R1_001.fastq.gz,raw/2019_AMF_2_S2_L001_R2_001.fastq.gz
AMF_3_S3_L001,raw/2019_AMF_3_S3_L001_R1_001.fastq.gz,raw/2019_AMF_3_S3_L001_R2_001.fastq.gz
AMF_4_S4_L001,raw/2019_AMF_4_S4_L001_R1_001.fastq.gz,raw/2019_AMF_4_S4_L001_R2_001.fastq.gz
AMF_5_S5_L001,raw/2019_AMF_5_S5_L001_R1_001.fastq.gz,raw/2019_AMF_5_S5_L001_R2_001.fastq.gz
AMF_6_S6_L001,raw/2019_AMF_6_S6_L001_R1_001.fastq.gz,raw/2019_AMF_6_S6_L001_R2_001.fastq.gz
AMF_7_S7_L001,raw/2019_AMF_7_S7_L001_R1_001.fastq.gz,raw/2019_AMF_7_S7_L001_R2_001.fastq.gz
AMF_8_S8_L001,raw/2019_AMF_8_S8_L001_R1_001.fastq.gz,raw/2019_AMF_8_S8_L001_R2_001.fastq.gz
AMF_9_S9_L001,raw/2019_AMF_9_S9_L001_R1_001.fastq.gz,raw/2019_AMF_9_S9_L001_R2_001.fastq.gz
